name,title,url,is_ad,pricing_unit,price,real_price,rating
B07B6ZN79N,"LeapFrog Chat and Count Emoji Phone, Green",,false,$,13.29,14.99,4.8
B0C2BMNHW2,Wireless Charger iPhone Charging Station: 3 in 1 Charger Stand Multiple Devices for Apple - iPhone 16e 16 15 14 Pro Max 13 12 11 - Watch 10 9 8 7 6 5 4 3 2 SE and Ultra Series - Airpods 4 3 2 Pro,,false,$,17.99,23.49,4.3
B0D5GJ5RFH,X3 2025 New Cheap 4G LTE GSM Unlocked Android Phones 6.0” Cell Phone 3000mAh Android Phone 8MP Smartphone 16GB Dual SIM for T-Mobile Only USA Market Face Unlocked (Gold),,false,$,59.84,62.99,3
B09XHZ8F7F,"EUCOS 62"" Phone Tripod, Tripod for iPhone & Selfie Stick Tripod with Remote, Extendable Phone Tripod Stand & Travel Tripod, Solidest Cell Phone Tripod Compatible with iPhone/Android",,false,$,22.99,29.99,4.6
B0D8683JFV,"Gabb Phone 4: The Perfect First Phone for Kids - Safe Apps, No Social Media/Internet Browser, GPS Tracking, Parental Controls, Talk & Text, 30 Activation Fee",,false,$,149.99,149.99,4
B0DC4C6SKP,"Kids Smart Phone for Girls Gifts - Toddler Christmas Birthday Gift for Age 3 4 5 6 Year Old, Kids Cell Phone Toy with Touchscreen, Dual Cameras, Learning, Music Player, Games with 32 GB Card",,false,$,35.89,35.89,4.2
B0CJTL7Q3J,"TODI 63"" Cell Phone Selfie Stick Tripod, Portable Tripod for iPhone with Wireless Remote, Extendable Smartphone Stand, All-in-1, Compatible with iPhone/Android",,false,$,16.99,27.99,4.5
B0D9K5K5M3,"Wireless Earbuds, Bluetooth Ear Buds with Big Bass Stereo Sound, 48 Hours Playtime, Lightweight in-Ear Fit Earphones, IPX7, Hands-Free Calls with AI for iPhone, Android, Pad, Sports, Workout",,false,$,16.99,26.99,4.5
B07PW4T3LT,Ooma Telo VoIP Free Internet Home Phone Service and HD3 Handset. Affordable landline replacement. Unlimited nationwide calling. Call on the go with free mobile app. Can block Robocalls.,,false,$,109.5,54.75,4.2
B0047WCINO,"Infantino Flip and Peek Fun Phone: Bilingual with 3 English & 3 Spanish Phrases, Sounds Effects for Engagement, Peek a Boo Mirror Inside, 2 Colors, Ages 3 Months +, Teal, 1 Count (Pack of 1)",,false,$,7.88,7.88,4.6
B0D3KPGFPC,"71'' Phone Tripod & Selfie Stick, Tripod for iPhone with Detachable Remote, Portable Phone Tripod Stand for Video Recording, Travel Tripod for Cell Phone, Compatible with Smartphones, DSLR",,false,$,17.99,17.99,4.5
B0DM23MNX9,"UMIDIGI G9A Unlocked Phone, Android 14 Go Cell Phone, 4G Dual SIM Card, 8GB+64GB/1TB Expand Octa-Core, 3.5mm Headphone Jack Phones 6.75""HD+Display AI Face Unlock Mobile Phones, 5000mAh, GPS，FM (Black)",,false,$,99.99,99.99,3.8
B0CHRF5LMX,"KOKODI Kids Smart Phone Toys, Birthday Gifts Unicorn Toddler Play Phone for Girls 3-10, Touchscreen HD Dual Camera Cell Phone for Kids, Travel Toy Preschool Learning Toy for Kids",,false,$,39.99,49.99,4.5
B085RV13ZP,"Ooma Telo VoIP with 3 HD3 Handsets Complete Home Phone System for Unlimited Nationwide Calling, Mobile App Access, and Robocall Blocking Affordable Landline Replacement",,false,$,119.99,149.99,4
B0CQV4RNTM,Phone Holders for Your Car【Upgraded Strongest Suction】Car Phone Holder Mount Dash【360° Adjustable】Suction Cup phone Mount for Truck Stand Cell PHone Holder for Car mount Fit All iPhone Car Accessories,,false,$,9.99,14.99,4.4
B0D749T6DG,"Gabb Phone 4 Pro - Phone for Kids and Teens, GPS Tracker, No Social Media or Internet, Fees Required",,false,$,199.99,199.99,4.2
B0DMVD7C59,"3-in-1 Car Phone Holder [122+LBS Strongest Suction & Stable Clamp Arm] 360° Adjustable Car Phone Mount, Cell Phone Holders for Your Car for Dashboard Vent, All Smartphones & Car Models (Black)",,false,$,27.77,41.99,4.4
B09MCKK9NX,"Lamicall Foldable Phone Stand for Desk - Height Adjustable Cell Phone Holder Portable Cellphone Cradle Desktop Dock Compatible with iPhone 16 15 14 13 Pro Max Mini, 12 11 XR X 8 Plus SE, Smartphone",,false,$,8.99,11.99,4.8
B0CZ6ZHDBN,"Klearlook Silicone Suction Cup Phone Case Mount Double Sided, Sticky Phone Grip with Higher Suction Power for Cell Phone, Hands-Free Phone Accessories Holder for Selfies and Videos, Transparent",,false,$,6.97,8.99,4
B09WMG2GPM,"CACOE Phone Lanyard 2 Pack-2× Adjustable Neck Strap,2× Phone Patches,Universal Cell Phone Multifuctional Patch Lanyards Compatible with Most Smartphones(Black+Gray)",,false,$,9.99,5,4.3
B0BR7YWT3Y,iPhone Fast Charger 3+3Pack 20W USB C Wall Charger with 6FT Fast Charging Cable Compatible with iPhone 14/13/12/11/Pro/Pro Max,,false,$,23.9,7.97,4.4
B0DJTBTYL2,Wireless Earbuds Bluetooth 5.3 Headphones with Touch Screen 50H Playtime Deep Bass Stereo Ear Buds with Mic IPX7 Waterproof in Ear Earphones for Pad Tablet Android/iOS Phones Gifts for Women Men,,false,$,29.99,36.99,4.5
B09P3FTQF7,"Large Key Wired Telephone, Adjustable Ringing Tone, and earpiece Volume, The earpiece can be Adjusted to Ultra-high Volume, which is Helpful for Those",,false,$,29.99,29.99,4.1
B0DSQ5DKFF,"Vacuum Magnetic Suction Cup Phone Mount for Magsafe, 360° Adjustable Magnetic Phone Holder, Pocket Size Foldable Portable Cell Phone Holders for Your Car for All Smartphones & All Car Models",,false,$,20.99,39.99,4.3
B0DLP157QH,MagSafe Charger 2 Pack 15W Magnetic Wireless Charger Fast Charging Pad Compatible with iPhone 16/15/14/13/12 Series & AirPods 3/2/Pro Magnetic MagSafe Charging Pad with Dual Charging Ports,,false,$,13.99,19.99,4.5
B0BNBWTC89,TICILFO Phone Mount for Car Phone Holder Car Phone Holder Mount Windshield Dashboard Air Vent Universal Automobile Mount Fit for All iPhone Android Smartphones,,false,$,5.99,5.99,4.4
B07PZF5C2J,"New Phone, Who Dis? by Relatable, The Offline Text Message Party Game, Spicier Edition With New Updated Content, Card Games for Adults, Game Night Games, Includes 100 inbox cards & 300 Reply Cards",,false,$,14.88,19.99,4.6
B0CJ6NZWZ9,"Nulaxy 2 Pack Dual Folding Cell Phone Stand, Fully Adjustable Phone Holder for Desk, Compatible with iPhone 16 15 14 13 12 11, Nintendo Switch, All Phones, Black & Rose Gold",,false,$,9.99,9.99,4.6
B0CMM89Y6Z,"64” Tripod for Cell Phone & Camera, Phone Tripod with Remote and Phone Holder, Sturdy & Stable Height Adjustable Multi-Angle Shot Selfie Stick Tripod for Video Recording",,false,$,21.99,27.98,4.6
B09R1G19K5,"LISEN for iPhone 16 MagSafe Car Mount, [Quick Install] Magnetic Car Phone Holder Vent, Car Truck Accessories Gifts for Men Women Him Her, Fit for iPhone 16e 16 Pro/Pro Max 15 14 13 12 Samsung Pixel",,false,$,12.34,19.99,4.4
B07P29XQR4,"PopSockets Phone Grip with Expanding Kickstand, Black",,false,$,9.97,9.97,4.5
B0BHNYJGRF,Lamicall 2025 Wider Clamp & Metal Hook Car Phone Holder Vent [Thick Cases Friendly] Phone Holders for Your Car Mount Automobile Hands Free Cradle Air Vent for iPhone 16 15 14 13 Pro Max Smartphone,,false,$,9.99,14.99,4.5
B0BXDJLS35,for MagSafe Car Mount【Windshield+Vent+Dash】Vacuum Magnetic Phone Holder for Car Phone Holder Mount Cell Phone Holders for Your Car Accessories Suction Cup Stand for iPhone 16 Pro Max 15 14 13 12 Plus,,false,$,16.99,19.99,4.6
B09PVFN7LG,"JOYROOM Motorcycle Phone Mount, [1s Auto Lock][100mph Military Anti-Shake] Bike Phone Holder for Bicycle, [10s Quick Install] Handlebar Phone Mount, Compatible with iPhone, Samsung, All Cell Phone",,false,$,15.99,19.99,4.5
B0897MKSKX,"Amazboost Cell Phone Booster for Home -Up to 2,500 sq ft, Cell Phone Signal Booster Kit, All U.S. Carriers -Compatible with Verizon, AT&T, T-Mobile, Sprint & More-5G 4G LTE 3G FCC Approved",,false,$,129.99,129.99,4
B0DSVW7J84,"Vacuum Suction Magnetic Phone Holder, Adjustable Vacuum Magnetic Car Phone Holder Foldable Vacuum Magnetic Cell Phone Holder Stand Suction Phone mount for iPhone 16/15/14/13/12/Gym/Shower/Car/Mirror",,false,$,17.99,19.99,3.5
